Gross Domestic Product,,,,,,,25-Mar-21
Percent change from preceding period,,,,,,,
,,,,,,,
Annual,,,,Quarterly,,,
,,,,  (Seasonally adjusted annual rates),,,
,,,,1994Q2,7.6,5.5,
,,,,1994Q3,4.7,2.4,
,,,,1994Q4,7.0,4.7,
,,,,1995Q1,3.6,1.4,
,,,,1995Q2,3.2,1.2,
,,,,1995Q3,5.5,3.5,
,,,,1995Q4,4.7,2.7,
,,,,1996Q1,5.0,3.0,
,,,,1996Q2,8.6,6.8,
,,,,1996Q3,5.0,3.6,
,,,,1996Q4,6.5,4.2,
,,,,1997Q1,5.1,2.6,
,,,,1997Q2,7.7,6.8,
,,,,1997Q3,6.9,5.1,
,,,,1997Q4,4.8,3.5,
,,,,1998Q1,4.7,4.1,
,,,,1998Q2,4.7,3.8,
,,,,1998Q3,6.9,5.1,
,,,,1998Q4,7.8,6.6,
,,,,1999Q1,5.4,3.8,
,,,,1999Q2,4.6,3.1,
,,,,1999Q3,6.8,5.3,
,,,,1999Q4,9.3,7.0,
,,,,2000Q1,4.2,1.5,
,,,,2000Q2,10.2,7.5,
,,,,2000Q3,2.8,0.5,
,,,,2000Q4,4.7,2.5,
,,,,2001Q1,1.3,-1.1,
,,,,2001Q2,4.9,2.4,
,,,,2001Q3,-0.1,-1.7,
,,,,2001Q4,2.4,1.1,
,,,,2002Q1,4.9,3.5,
,,,,2002Q2,3.9,2.4,
,,,,2002Q3,3.7,1.8,
,,,,2002Q4,2.9,0.6,
,,,,2003Q1,4.1,2.2,
,,,,2003Q2,4.7,3.5,
,,,,2003Q3,9.3,7.0,
,,,,2003Q4,7.2,4.7,
,,,,2004Q1,5.2,2.2,
,,,,2004Q2,6.5,3.1,
,,,,2004Q3,6.6,3.8,
,,,,2004Q4,7.3,4.1,
,,,,2005Q1,7.9,4.5,
,,,,2005Q2,4.7,1.9,
,,,,2005Q3,7.4,3.6,
,,,,2005Q4,5.9,2.6,
,,,,2006Q1,8.4,5.4,
,,,,2006Q2,4.4,0.9,
,,,,2006Q3,3.5,0.6,
,,,,2006Q4,5.0,3.5,
,,,,2007Q1,5.0,0.9,
,,,,2007Q2,5.0,2.3,
,,,,2007Q3,4.3,2.2,
,,,,2007Q4,4.1,2.5,
,,,,2008Q1,-0.8,-2.3,
,,,,2008Q2,4.3,2.1,
,,,,2008Q3,0.8,-2.1,
,,,,2008Q4,-7.2,-8.4,
,,,,2009Q1,-4.5,-4.4,
,,,,2009Q2,-1.2,-0.6,
,,,,2009Q3,1.9,1.5,
,,,,2009Q4,5.9,4.5,
,,,,2010Q1,2.6,1.5,
,,,,2010Q2,5.7,3.7,
,,,,2010Q3,4.2,3.0,
,,,,2010Q4,4.3,2.0,
,,,,2011Q1,1.2,-1.0,
,,,,2011Q2,5.6,2.9,
,,,,2011Q3,2.5,-0.1,
,,,,2011Q4,5.4,4.7,
,,,,2012Q1,5.8,3.2,
,,,,2012Q2,3.3,1.7,
,,,,2012Q3,2.6,0.5,
,,,,2012Q4,2.5,0.5,
,,,,2013Q1,5.3,3.6,
,,,,2013Q2,1.7,0.5,
,,,,2013Q3,5.2,3.2,
,,,,2013Q4,5.7,3.2,
,,,,2014Q1,0.5,-1.1,
,,,,2014Q2,7.9,5.5,
,,,,2014Q3,6.8,5.0,
,,,,2014Q4,2.9,2.3,
,,,,2015Q1,3.5,3.8,
,,,,2015Q2,5.0,2.7,
,,,,2015Q3,2.7,1.5,
,,,,2015Q4,0.7,0.6,
,,,,2016Q1,2.0,2.3,
,,,,2016Q2,4.1,1.3,
,,,,2016Q3,3.6,2.2,
,,,,2016Q4,4.6,2.5,
,,,,2017Q1,4.4,2.3,
,,,,2017Q2,3.0,1.7,
,,,,2017Q3,5.0,2.9,
,,,,2017Q4,6.7,3.9,
,,,,2018Q1,6.2,3.8,
,,,,2018Q2,6.3,2.7,
,,,,2018Q3,3.8,2.1,
,,,,2018Q4,3.3,1.3,
,,,,2019Q1,4.0,2.9,
,,,,2019Q2,4.1,1.5,
,,,,2019Q3,4.0,2.6,
,,,,2019Q4,3.9,2.4,
,,,,2020Q1,-3.4,-5.0,
,,,,2020Q2,-32.8,-31.4,
,,,,2020Q3,38.3,33.4,
,,,,2020Q4,6.3,4.3,
